Author_ID;Original_Name;Standardized_Name;Number_of_papers
1;Abandah, G.;Abandah, G.A.;1
2;Abandah, G.A.;Abandah, G.A.;4
3;Abay, E.;Abay, E.;1
4;Abaynarh, M.;Abaynarh, M.;1
5;Abbas, H.M.;Abbas, H.M.;5
6;Abbas, N.;Abbas, N.;3
7;Abbas, N.H.;Abbas, N.H.;1
8;Abbas, Q.;Abbas, Q.;1
9;Abbasi, A.;Abbasi, A.;1
10;Abbott, A.L.;Abbott, A.L.;1
11;Abbott, H.S.;Abbott, H.S.;1
12;AbdAli, S.;AbdAli, S.;1
13;Abdalkafor, A.S.;Abdalkafor, A.S.;4
14;Abdallah, A.;Abdallah, A.;1
15;Abdallah, E.;Abdallah, E.;1
16;Abdallah, S.;Abdallah, S.;1
17;Abd-Almageed, W.;Abd-Almageed, W.;2
18;Abdeen, R.M.;Abdeen, R.M.;2
19;Abdel-Aal, R.E.;Abdel-Aal, R.E.;1
20;Abdelatif, E.;Abdelatif, E.;1
21;Abdelazeem, S.;Abdelazeem, S.;5
22;Abd Elaziz, M.;Abd Elaziz, M.;1
23;Abdelbaset, A.;Abdelbaset, A.A.;1
24;Abdelbaset, A.A.;Abdelbaset, A.A.;1
25;Abdelghani, I.A.B.;Abdelghani, I.A.B.;1
26;AbdelGhany, M.S.;AbdelGhany, M.S.;1
27;Abdel Hady, M.F.;Abdel Hady, M.F.;1
28;Abdel-Hakim, A.;Abdel-Hakim, A.;1
29;Abdelhedi, Z.;Abdelhedi, Z.;1
30;Abdelkrim, A.;Abdelkrim, A.;1
31;Abdellah, Y.;Abdellah, Y.;1
32;Abdelraouf, A.;Abdelraouf, A.;2
33;Abdimanap, G.;Abdimanap, G.;1
34;Abdl, K.M.B.;Abdl, K.M.B.;2
35;Abdleazeem, S.;Abdleazeem, S.;1
36;Abdulghafour, M.;Abdulghafour, M.;1
37;Abdul Hameed, K.M.;Abdul Hameed, K.M.;1
38;Abdul Hassan, A.K.;Abdul Hassan, A.K.;1
39;Abdul-Hassan, A.K.;Abdul Hassan, A.K.;1
40;Abdulkader, A.;Abdulkader, A.;1
41;Abdulla, S.;Abdulla, S.;1
42;Abdullah, M.;Abdullah, M.;1
43;Abdullah, S.;Abdullah, S.;1
44;Abdullah, S.N.H.S.;Abdullah, S.N.H.S.;1
45;Abdullah, T.N.;Abdullah, T.N.;1
46;Abdul Rahiman, A.;Abdul Rahiman, A.;1
47;Abdul-Rahman, S.;Abdul-Rahman, S.;1
48;Abdulrazzaq, M.B.;Abdulrazzaq, M.B.;2
49;Abe, J.M.;Abe, J.M.;1
50;Abe, K.;Abe, K.;2
51;Abe, M.;Abe, M.;1
52;Abe, N.;Abe, N.;1
53;Abed, H.E.;Abed, H.E.;7
54;Abedin, M.A.;Abedin, M.A.;2
55;Abedin, M.M.-H.-Z.;Abedin, M.M.-H.-Z.;2
56;Abhinand, P.;Abhinand, P.;1
57;Abhinav, T.;Abhinav, T.;1
58;Abid, S.;Abid, S.;1
59;Abidi, A.;Abidi, A.;2
60;Abidin, W.A.W.Z.;Abidin, W.A.W.Z.;1
61;Abir, B.M.;Abir, B.M.;1
62;Abir, B.S.;Abir, B.S.;1
63;Abir, M.M.;Abir, M.M.;1
64;Abirami, K.;Abirami, K.;1
65;Abirami, M.;Abirami, M.;1
66;Abirami, S.;Abirami, S.;5
67;Abisado, M.B.;Abisado, M.B.;1
68;Abliz, A.;Abliz, A.;1
69;Abou, H.M.;Abou, H.M.;1
70;Abraham, A.;Abraham, A.;2
71;Abrahamson, K.;Abrahamson, K.;1
72;Abrahamsson, Anders;Abrahamsson, Anders;1
73;Abu Al-Haija, Q.;Abu Al-Haija, Q.;1
74;Abu-Amara, M.H.;Abu-Amara, M.H.;1
75;Abu-Bakar, S.;Abu-Bakar, S.;1
76;Abuhaiba, I.S.I.;Abuhaiba, I.S.I.;2
77;Abujar, S.;Abujar, S.;5
78;Abukhalil, T.;Abukhalil, T.;1
79;Aburas, A.A.;Aburas, A.A.;6
80;Abusaimeh, H.;Abusaimeh, H.;1
81;Abushariah, A.A.M.;Abushariah, A.A.M.;1
82;Abushariah, M.A.M.;Abushariah, M.A.M.;1
83;Abu Zitar, R.;Abu Zitar, R.;1
84;Abzalov, A.;Abzalov, A.;1
85;Accardo, A.;Accardo, A.;4
86;Acevedo-Sotoca, I.;Acevedo-Sotoca, I.;1
87;Acharya, K.;Acharya, K.;1
88;Acharya, S.;Acharya, S.;1
89;Achkar, R.;Achkar, R.;1
90;Aciobanitei, B.;Aciobanitei, B.;1
91;Ada El-Gwad, Aida O.;Ada El-Gwad, Aida O.;1
92;Adak, C.;Adak, C.;6
93;Adam, S.;Adam, S.;5
94;Adams, J.;Adams, J.;1
95;Adams, R.;Adams, R.;1
96;Adankon, M.M.;Adankon, M.M.;1
97;Adeel, A.;Adeel, A.;1
98;Adesara, H.H.;Adesara, H.H.;1
99;Adhikari, M.;Adhikari, M.;1
100;Adhyaru, D.M.;Adhyaru, D.M.;3
101;Adibi, P.;Adibi, P.;1
102;Adiguna, J.;Adiguna, J.;1
103;Adiguzel, H.;Adiguzel, H.;1
104;Adiono, T.;Adiono, T.;2
105;Adipranata, R.;Adipranata, R.;1
106;Adjouadi, M.;Adjouadi, M.;1
107;Adler, A.;Adler, A.;1
108;Adnan, W.B.;Adnan, W.B.;1
109;Adu-Gyamfi, D.;Adu-Gyamfi, D.;1
110;Afifi, A.;Afifi, A.;2
111;Afjal, M.I.B.N.;Afjal, M.I.B.N.;1
112;Afroge, S.;Afroge, S.;2
113;Agahi, H.;Agahi, H.;1
114;Agal, A.;Agal, A.;1
115;Agam, G.;Agam, G.;1
116;Agapitos, A.;Agapitos, A.;1
117;Agarwal, A.;Agarwal, A.;3
118;Agarwal, M.;Agarwal, M.;1
119;Agarwal, P.;Agarwal, P.;1
120;Agarwal, R.;Agarwal, R.;1
121;Agarwal, S.;Agarwal, S.;3
122;Aggarwal, A.;Aggarwal, A.;2
123;Aggarwal, R.;Aggarwal, R.;2
124;Aggarwal, R.K.;Aggarwal, R.K.;1
125;Aghabozorgi, S.;Aghabozorgi, S.;1
126;Aghaeinia, H.;Aghaeinia, H.;1
127;Aghaenia, H.;Aghaenia, H.;1
128;Aghagolzadeh, A.;Aghagolzadeh, A.;1
129;Aghbari, Z.A.;Aghbari, Z.A.;2
130;Agrawal, R.;Agrawal, R.;1
131;Agrawal, S.;Agrawal, S.;1
132;Agrawalla, K.;Agrawalla, K.;1
133;Agui, Takeshi;Agui, Takeshi;2
134;Ahadi, S.M.;Ahadi, S.M.;1
135;Ahamed, M.;Ahamed, M.;1
136;Ahamed, P.;Ahamed, P.;2
137;Ahdid, R.;Ahdid, R.;1
138;Ahic-Djokic, M.;Ahic-Djokic, M.;1
139;Ahlawat, S.;Ahlawat, S.;10
140;Ahmad, A.R.;Ahmad, A.R.;1
141;Ahmad, F.;Ahmad, F.;1
142;Ahmad, I.;Ahmad, I.;3
143;Ahmad, J.;Ahmad, J.;1
144;Ahmad, M.;Ahmad, M.;1
145;Ahmad, U.;Ahmad, U.;1
146;Ahmad Fadzil, M.H.;Ahmad Fadzil, M.H.;1
147;Ahmadi, M.;Ahmadi, M.;14
148;Ahmadian, A.;Ahmadian, A.;1
149;Ahmadifard, A.;Ahmadifard, A.;1
150;Ahmadyfard, A.;Ahmadyfard, A.;1
151;Ahmed, H.;Ahmed, H.;4
152;Ahmed, I.;Ahmed, I.;1
153;Ahmed, J.;Ahmed, J.;1
154;Ahmed, K.I.;Ahmed, K.I.;1
155;Ahmed, M.;Ahmed, M.;6
156;Ahmed, M.S.;Ahmed, M.S.;1
157;Ahmed, N.;Ahmed, N.;1
158;Ahmed, P.;Ahmed, P.;1
159;Ahmed, R.;Ahmed, R.;2
160;Ahmed, S.;Ahmed, S.;3
161;Ahmed, S.B.;Ahmed, S.B.;1
162;Ahmed Ali, A.A.;Ahmed Ali, A.A.;1
163;Ahn, H.;Ahn, H.;1
164;Ahn, H.-S.;Ahn, H.-S.;1
165;Ahranjany, S.S.;Ahranjany, S.S.;1
166;Ahsan Habib, M.D.;Ahsan Habib, M.D.;1
167;Ahuja, S.;Ahuja, S.;1
168;Ai, L.;Ai, L.;1
169;Ai, Y.-Q.;Ai, Y.-Q.;1
170;Aiadi, O.;Aiadi, O.;1
171;Aider, M.A.;Aider, M.A.;1
172;Aihara, K.;Aihara, K.;1
173;Aiping, Y.;Aiping, Y.;1
174;Aires, S.B.K.;Aires, S.B.K.;3
175;Airphaiboon, S.;Airphaiboon, S.;2
176;Aishwarya, C.;Aishwarya, C.;1
177;Aiswarya, S.;Aiswarya, S.;1
178;Aitkerroum, M.;Aitkerroum, M.;1
179;Ait Kerroum, M.;Ait Kerroum, M.;2
180;Aizawa, H.;Aizawa, H.;1
181;Ajloun, G.S.;Ajloun, G.S.;1
182;Akao, Y.;Akao, Y.;2
183;Akarun, L.;Akarun, L.;1
184;Akbari, Y.;Akbari, Y.;1
185;Akbarzadeh, D.;Akbarzadeh, D.;1
186;Akber, J.;Akber, J.;1
187;Akdag, H.;Akdag, H.;1
188;Akhand, M.A.H.;Akhand, M.A.H.;6
189;Akhil Kumar, M.;Akhil Kumar, M.;1
190;Akhmetov, B.B.;Akhmetov, B.B.;1
191;Akhtar, M.S.;Akhtar, M.S.;1
192;Akhtar, W.;Akhtar, W.;1
193;Akhter, N.;Akhter, N.;1
194;Akiyama, T.;Akiyama, T.;2
195;Akiyama, Teruo;Akiyama, Teruo;1
196;Akmal, S.;Akmal, S.;1
197;Akouaydi, H.;Akouaydi, H.;1
198;Aksela, M.;Aksela, M.;2
199;Akshay, S.;Akshay, S.;1
200;Akshay Kumar, P.;Akshay Kumar, P.;1
201;Aktaruzzaman, M.;Aktaruzzaman, M.;1
202;Akter, M.;Akter, M.;1
203;Alabau, V.;Alabau, V.;1
204;Alabed, A.F.;Alabed, A.F.;1
205;Al Abodi, J.;Al Abodi, J.;1
206;Alaei, A.;Alaei, A.;11
207;Al Aghbari, Z.;Al Aghbari, Z.;2
208;Alahari, K.;Alahari, K.;1
209;Al-Alawi, R.;Al-Alawi, R.;1
210;Alalshekmubarak, A.;Alalshekmubarak, A.;1
211;Alam, F.I.;Alam, F.I.;1
212;Alamdar, F.;Alamdar, F.;1
213;Alamri, H.;Alamri, H.;1
214;Alani, A.A.;Alani, A.A.;1
215;Al-Ani, K.W.;Al-Ani, K.W.;1
216;Al-Assam, H.;Al-Assam, H.;1
217;Al-Badr, B.;Al-Badr, B.;1
218;Albahli, S.;Albahli, S.;1
219;Albakoor, M.;Albakoor, M.;1
220;Albao, J.D.;Albao, J.D.;1
221;Albattah, W.;Albattah, W.;1
222;Albidewi, I.A.;Albidewi, I.A.;1
223;Albuquerque, V.H.C.;Albuquerque, V.H.C.;2
224;Aldavert, D.;Aldavert, D.;2
225;Al-Diabat, M.;Al-Diabat, M.;1
226;Aldo, M.S.;Aldo, M.S.;1
227;Alekseev, K.V.;Alekseev, K.V.;1
228;Alemu, W.;Alemu, W.;1
229;Alghamdi, A.S.;Alghamdi, A.S.;1
230;Alghazo, J.;Alghazo, J.M.;1
231;Alghazo, J.M.;Alghazo, J.M.;1
232;Alghazo, Y.;Alghazo, Y.;1
233;Al-Hadidi, M.R.;Al-Hadidi, M.R.;1
234;Alhajj, R.;Alhajj, R.;1
235;Al Hajj, R.;Al Hajj, R.;1
236;Al-Hajj, R.;Al-Hajj, R.;2
237;Al Hajj Mohamad, R.;Al-Hajj Mohamad, R.;1
238;Al-Hajj Mohamad, R.;Al-Hajj Mohamad, R.;2
239;Al Hamad, H.A.;Al Hamad, H.A.;3
240;Al-Hamadi, A.;Al-Hamadi, A.;12
241;Al-Harbi, M.;Al-Harbi, M.;1
242;Alharthi, M.;Alharthi, M.;1
243;Alhassan, F.;Alhassan, F.;1
244;Alheeti, K.M.A.;Alheeti, K.M.A.;1
245;Al Helal, A.;Al Helal, A.;1
246;Al-Hmouz, A.;Al-Hmouz, A.;1
247;Al-Hmouz, R.;Al-Hmouz, R.;1
248;Alhroob, A.;Alhroob, A.;1
249;Alhusban, S.;Alhusban, S.;1
250;Ali, A.;Ali, A.;1
251;Ali, A.A.A.;Ali, A.A.A.;3
252;Ali, A.H.;Ali, A.H.;1
253;Ali, H.;Ali, H.;2
254;Ali, H.A.;Ali, H.A.;3
255;Ali, I.;Ali, I.H.;1
256;Ali, I.H.;Ali, I.H.;1
257;Ali, K.;Ali, K.;1
258;Ali, M.A.;Ali, M.A.;3
259;Ali, M.H.;Ali, M.H.;1
260;Ali, M.M.;Ali, M.M.;1
