Keyword_ID;Original_Keyword;Standardized_Keyword
1;TEXT RECOGNITION;HANDWRITINGRECOGNITION
2;TEXT RECOGNITION;HANDWRITING-RECOGNITION
3;TEXT RECOGNITION;RECOGNITION
4;TEXT RECOGNITION;HANDWRITTEN-TEXT-PROCESSING
5;TEXT RECOGNITION;ADDRESS-RECOGNITION
6;TEXT RECOGNITION;UNCONSTRAINED-HANDWRITING-RECOGNITION
7;TEXT RECOGNITION;HANDWRITTEN-CURSIVE-TEXT
8;TEXT RECOGNITION;HANDWRITTEN-TEXT-RECOGNITION
9;TEXT RECOGNITION;HANDWRITTEN-RECOGNITION
10;TEXT RECOGNITION;CONTINUOUS-HANDWRITING-RECOGNITION
11;TEXT RECOGNITION;TEXT-RECOGNITION
12;TEXT RECOGNITION;CURSIVE-HANDWRITING-RECOGNITION
13;TEXT RECOGNITION;UNCONSTRAINED-TEXT-RECOGNITION
14;TEXT RECOGNITION;HANDWRITTEN-POSTAL-ADDRESS-RECOGNITION
15;TEXT RECOGNITION;UNCONSTRAINED-HANDWRITTEN
16;TEXT RECOGNITION;HANDWRITTEN-TEXT
17;TEXT RECOGNITION;CURSIVE-HANDWRITTEN-TEXT-RECOGNITION
18;TEXT RECOGNITION;IMAGE-RECOGNITION
19;TEXT RECOGNITION;HAND-WRITTEN-TEXT
20;TEXT RECOGNITION;UNCONSTRAINED-HANDWRITING
21;TEXT RECOGNITION;HANDWRITING-CURSIVE-RECOGNITION
22;TEXT RECOGNITION;HANDWRITEN-RECOGNITION
23;TEXT RECOGNITION;HANDPRINT-RECOGNITION
24;TEXT RECOGNITION;HAND-WRITTEN-RECOGNITION
25;TEXT RECOGNITION;STRING-RECOGNITION
26;TEXT RECOGNITION;HANDWRITTEN-TEXT-RECOGNITION-(HTR)
27;TEXT RECOGNITION;HANWRITTEN-TEXT-RECOGNITION
28;TEXT RECOGNITION;HTR
29;TEXT RECOGNITION;UNCONSTRAINED-HANDWRITTEN-RECOGNITION
30;TEXT RECOGNITION;HANDWRITTEN-AND-PRINTED-TEXT
31;TEXT RECOGNITION;VIETNAMESE-RECOGNITION
32;TEXT RECOGNITION;HANDRITING-RECOGNITION
33;TEXT RECOGNITION;VIETNAMESE-HANDWRITING-RECOGNITION
34;TEXT RECOGNITION;HANDWRITTEN-ALPHABETS-RECOGNITION
35;TEXT RECOGNITION;HAND-WRITTEN-TEXT-RECOGNITION
36;TEXT RECOGNITION;HANDWRITTEN-DOCUMENT-RECOGNITION
37;TEXT RECOGNITION;DOCUMENT-IMAGE-ANALYSIS-AND-RECOGNITION
38;TEXT RECOGNITION;HOLSITIC-HANDWRITING-RECOGNITION
39;TEXT RECOGNITION;HAND-WRITING-RECOGNITION
40;TEXT RECOGNITION;UNCONSTRAINED-SCANNED-IMAGES
41;TEXT RECOGNITION;AUTOMATIC-TEXT-RECOGNITION
42;TEXT RECOGNITION;HANDWRITMG-RECOGNITION
43;TEXT RECOGNITION;HANDWRITTEN-DOCUMENTS-RECOGNITION
44;TEXT RECOGNITION;HANDRITTEN-RECOGNITION
45;TEXT RECOGNITION;AUTOMATIC-RECOGNITION
46;TEXT RECOGNITION;POSTAL-ADDRESS-SORTING
47;TEXT RECOGNITION;HANDWRITTEN-LETTER-RECOGNITION
48;TEXT RECOGNITION;HANDWRITTING-RECOGNITION
49;TEXT RECOGNITION;HANDWRITING-IMAGE-RECOGNITION
50;TEXT RECOGNITION;CURSIVE-HANDWRITTEN-TEXT
51;TEXT RECOGNITION;TEXT-STRING
52;TEXT RECOGNITION;UNCONSTRAINED-HANDWRITTEN-DOCUMENTS
53;FEATURE-EXTRACTION;FEATURE-EXTRACTION
54;FEATURE-EXTRACTION;FEATURES
55;FEATURE-EXTRACTION;FEATURE-GENERATION
56;FEATURE-EXTRACTION;MULTIFEATURE
57;FEATURE-EXTRACTION;FEATURE
58;FEATURE-EXTRACTION;EXTRACTION-OF-FEATURES
59;FEATURE-EXTRACTION;FEATURES-EXTRACTION
60;FEATURE-EXTRACTION;FEATURE-EXTRACTION-AND-ANALYSIS
61;FEATURE-EXTRACTION;PERCEPTUAL-FEATURES
